Product Code,Name,Brand,Category Hierarchy,Stock,Price,Size,EAN,SKU
BP_100493851,EAU PREMIÃˆRE VAPORISATEUR,CHANEL,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,107.99,35ML,3145891053302,100767188
BP_102606126,Eau de parfum,Tom Ford,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,104.99,30ML,0888066149082,102606126
BP_102198126,Eau de parfum,Guerlain,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,163.99,75ML,3346470143159,102198126
BP_102631111,Eau de parfum,Narciso Rodriguez,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,94.99,30ML,3423222080945,102631111
BP_100020370,Eau de Parfum Recharge,Issey Miyake,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,121.99,75ML,3423470481273,100020370
BP_100164993,Eau de parfum,Armani,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,90.99,30ML,3605521172525,100165013
BP_100194906,Eau de toilette,HermÃ¨s,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,114.99,50ML,3346132102807,100194914
BP_100023446,Eau de parfum,Nina Ricci,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,125.99,50ML,3137370207054,100023446
BP_102492288,Eau de Parfum Intense Florale AmbrÃ©e Pour Elle,Valentino,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,105.99,30ML,3614273790864,102492288
BP_100533445,Eau de Parfum Vaporisateur,BURBERRY,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,132.99,50ML,5045419039635,100533453
BP_102724229,Eau de toilette vaporisateur,CHANEL,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,111.99,100ML,3145891156904,102724229
BP_100197111,Eau de Toilette,Guerlain,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,114.99,50ML,3346470113626,100197808
BP_100529315,Souffle de Parfum - Eau de Parfum,Guerlain,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,119.7,90ML,3346470116665,100529331
BP_100010507,Eau de toilette,DOLCE&GABBANA,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,75.59,50ML,8057971180349,100010507
